expo,table,project,sponsors,link,category,special
1,1,Space is c00l,Microsoft & Merge Challenge,https://kh19.devpost.com/submissions/118967-space-is-c00l,Microsoft & Merge Challenge,
1,2,Hope Center Website,1960 Hope Center - Chick-fil-A|-|MLH Challenges (from hack.mlh.io),https://kh19.devpost.com/submissions/118970-hope-center-website,1960 Hope Center - Chick-fil-A,
1,3,1960 Hope Center - Rebranding,1960 Hope Center - Chick-fil-A|-|MLH Challenges (from hack.mlh.io),https://kh19.devpost.com/submissions/118972-1960-hope-center-rebranding,Best Domain Registered with Domain.com,
1,4,Bathroom Monitor,1960 Hope Center - Chick-fil-A,https://kh19.devpost.com/submissions/118975-bathroom-monitor,1960 Hope Center - Chick-fil-A,
1,5,~Depths of the Ocean Merge Cube~,Microsoft & Merge Challenge,https://kh19.devpost.com/submissions/118976-depths-of-the-ocean-merge-cube,Microsoft & Merge Challenge,
1,6,Solar System 3D Visualizer,Microsoft & Merge Challenge,https://kh19.devpost.com/submissions/118977-solar-system-3d-visualizer,Microsoft & Merge Challenge,
1,7,Roader Reader,,https://kh19.devpost.com/submissions/118978-roader-reader,,
1,8,Echo,1960 Hope Center - Chick-fil-A |-| Microsoft & Merge Challenge,https://kh19.devpost.com/submissions/118979-echo,1960 Hope Center - Chick-fil-A,
1,5,1960 Hope Center Website,MLH Challenges (from hack.mlh.io),https://kh19.devpost.com/submissions/118980-1960-hope-center-website,1960 Hope Center - Chick-fil-A,
1,10,ASL VR,,https://kh19.devpost.com/submissions/118983-asl-vr,,
1,11,VB Magic Player,,https://kh19.devpost.com/submissions/118985-vb-magic-player,,
1,14,You Matter,1960 Hope Center - Chick-fil-A,https://kh19.devpost.com/submissions/118991-you-matter,1960 Hope Center - Chick-fil-A,
1,15,The road less traveled,,https://kh19.devpost.com/submissions/118994-the-road-less-traveled,,
1,15,Hope Center Website (Whacky Hackers),1960 Hope Center - Chick-fil-A,https://devpost.com/software/hope-website,1960 Hope Center - Chick-fil-A,
1,16,Chore Reminder,,https://kh19.devpost.com/submissions/118995-chore-reminder,,
1,17,MERGE Learning for Students with Dyslexia 2.0,Microsoft & Merge Challenge |-|MLH Challenges (from hack.mlh.io),https://kh19.devpost.com/submissions/118997-merge-learning-for-students-with-dyslexia-2-0,Microsoft & Merge Challenge,
1,18,Microsoft Merge Cube,,https://kh19.devpost.com/submissions/118999-microsoft-merge-cube,,
1,19,Sovia ,Microsoft & Merge Challenge,https://kh19.devpost.com/submissions/119000-sovia,Microsoft & Merge Challenge,
1,21,Preventing CyberBullying,Combat Cyberbullying,https://kh19.devpost.com/submissions/119005-preventing-cyberbullying,Microsoft - Combat Cyberbullying,
1,23,Blue Sky Campaign,,https://kh19.devpost.com/submissions/119013-blue-sky-campaign,,
1,24,CyberGuards - Combat Cyberbullying Challenge with SnapKit,Combat Cyberbullying|-|MLH Challenges (from hack.mlh.io) ,https://kh19.devpost.com/submissions/119021-cyberguards-combat-cyberbullying-challenge-with-snapkit,Best Domain Registered with Domain.com Best use of SnapKit,
1,26,GuardBot,Combat Cyberbullying,https://kh19.devpost.com/submissions/119022-guardbot,Microsoft - Combat Cyberbullying,
1,26,Stomp Bullying,,https://kh19.devpost.com/submissions/119024-stomp-bullying,Microsoft - Combat Cyberbullying,
1,27,Bone Box,Microsoft & Merge Challenge,https://kh19.devpost.com/submissions/119028-bone-box,Microsoft & Merge Challenge,
1,28,The Invincible Titan X Cloak,,https://kh19.devpost.com/submissions/119029-the-invincible-titan-x-cloak,,
1,29,CyberBully Help Site,Combat Cyberbullying,https://minecraftkids125.wixsite.com/website,,
1,29,visualize vr merge cube,Microsoft & Merge Challenge |-| Combat Cyberbullying,https://kh19.devpost.com/submissions/119030-visualize-vr-merge-cube,Best Domain Registered with Domain.com,
1,30,Combat Cyberbullying,,https://kh19.devpost.com/submissions/119032-combat-cyberbullying,,
1,31,Cyber-Bullying Solutions,Combat Cyberbullying,https://kh19.devpost.com/submissions/119033-cyber-bullying-solutions,Microsoft - Combat Cyberbullying,
1,32,Hope Center Website,Microsoft & Merge Challenge,https://kh19.devpost.com/submissions/119034-hope-center-website,Best Domain Registered with Domain.com,
1,33,Block the Bully,Combat Cyberbullying,https://kh19.devpost.com/submissions/119035-block-the-bully,Microsoft - Combat Cyberbullying,
1,34,Cyberbully Attack,Combat Cyberbullying,https://kh19.devpost.com/submissions/119037-cyberbully-attack,Microsoft - Combat Cyberbullying,
1,35,Furturistic Camera,,https://kh19.devpost.com/submissions/119038-furturistic-camera,,
1,36,Chore Manager,,https://kh19.devpost.com/submissions/119044-chore-manager,,
1,38,Furturistic Camera,,https://kh19.devpost.com/submissions/119044-chore-manager,,
1,39,The Offline Initiative,Combat Cyberbullying,https://kh19.devpost.com/submissions/119044-chore-manager,Microsoft & Merge Challenge,
1,39,Chemistry VESPR Models,,https://kh19.devpost.com/submissions/119044-chore-manager,,
1,40,3D Monsters,Microsoft & Merge Challenge,https://kh19.devpost.com/submissions/119044-chore-manager,Microsoft & Merge Challenge,
1,41,EMP ,MLH Challenges (from hack.mlh.io),https://kh19.devpost.com/submissions/119044-chore-manager,MLH Challenges (from hack.mlh.io),
1,5,Winner Winner Chicken Dinner,1960 Hope Center - Chick-fil-A,https://devpost.com/software/1960-hope-center-website-r6envg,1960 Hope Center - Chick-fil-A,
1,21,1960 Hope Center (Victoria & Mariana) ,1960 Hope Center - Chick-fil-A,https://devpost.com/software/1960-hope-center-tom6hz,1960 Hope Center - Chick-fil-A,
1,42,1960 Hope Center (Scroll Left) ,1960 Hope Center - Chick-fil-A,https://devpost.com/software/hope-center-website,1960 Hope Center - Chick-fil-A,
1,43,1960 Hope Center (Toads) ,1960 Hope Center - Chick-fil-A,https://devpost.com/software/1960-hope-center-tu79wm,1960 Hope Center - Chick-fil-A,
